date,tokens,likes,retweets,mencoes,hashtags,emojis
2020-10-08,"['hoje', 'manhã', 'formatura', '300', 'policiai', 'federai', 'brasília', '2021', 'abriremo', 'concurso', '2000', 'hoje', 'amanhã', 'estarei', 'breve', 'ilha', 'marajópa', 'policiafeder', 'justicagovbr', 'amendoncamjsp']",14199,2520,"['policiafederal', 'JusticaGovBR', 'AmendoncaMJSP']",[],[]
2020-10-08,"['tarcisiogdf', 'ministro']",5949,340,['tarcisiogdf'],[],['🤝']
2020-10-08,['rsallesmma'],2568,161,['rsallesmma'],[],['🤝']
2020-10-08,"['carlosbolsonaro', 'cguonlin', 'wrosariocgu', 'policiafeder']",3941,241,"['CarlosBolsonaro', 'CGUonline', 'WRosarioCGU', 'policiafederal']",[],['👍']
2020-10-08,"['alexandregarcia', 'bom', 'dia', 'todo', 'youtub']",10302,1983,['alexandregarcia'],[],[]
2020-10-08,"['basta', 'dizer', 'amazônia', 'devemo', 'desenvolvê', 'la', 'mmeioambient', 'rsallesmma', 'youtub']",20934,4773,"['mmeioambiente', 'rsallesmma']",[],[]
2020-10-07,"['encaminhei', 'mensagem', 'senado', 'feder', 'indicando', 'maj', 'r1', 'pmdf', 'atual', 'ministro', 'secretaria', 'geral', 'jorg', 'oliveira', 'exerc', 'cargo', 'ministro', 'tribun', 'conta', 'união']",19390,3003,[],[],[]
2020-10-07,"['fabiofaria5555', 'minfraestrutura']",2327,196,"['fabiofaria5555', 'MInfraestrutura', 'oficial_Anac']",[],"['🇧🇷', '🤝']"
2020-10-07,"['número', 'mostram', 'maio', 'setembro', '2020', 'record', 'apreensão', 'ben', 'crime', 'justicagovbr', 'youtub']",21052,4617,['JusticaGovBR'],[],[]
2020-10-06,"['tarcisiogdf', 'dnitofici', 'ministro']",10164,718,"['tarcisiogdf', 'DNIToficial']",[],"['🇧🇷', '🤝']"
2020-10-06,"['apó', '5', 'ano', 'interrupçõ', 'capitão', 'tarcisiogdf', 'inaugur', 'novo', 'cai', 'atalaia', 'porto', 'vitória', 'anunci', 'investimento', 'alavancar', 'cobotagem', 'espírito', 'santo', 'minfraestrutura', 'youtub']",19965,3948,"['tarcisiogdf', 'MInfraestrutura']",[],[]
2020-10-06,"['marceloscf2', 'dnitofici']",2384,147,"['Marceloscf2', 'DNIToficial']",[],['🤝']
2020-10-06,"['itamaratygovbr', 'ernestofaraujo']",31274,4913,"['ItamaratyGovBr', 'ernestofaraujo']",[],[]
2020-10-05,"['prazer', 'conversar', 'president', 'coreia', 'sul', 'moon', 'jaein', 'tratar', 'tema', 'ligado', 'liberalização', 'comércio', 'bilater', 'oportunidad', 'cooperação', 'ciência', 'tecnologia', 'além', 'biodiversidad', 'acordo', 'mercosulcoreia', 'sul']",14756,2389,[],[],"['🇰🇷', '🇧🇷', '🤝']"
2020-10-05,"['hoje', 'conversei', 'príncipe', 'herdeiro', 'arábia', 'saudita', 'mohammad', 'bin', 'salman', 'al', 'saud', 'dar', 'seguimento', 'iniciativa', 'acordada', 'visita', 'riad', 'out2019', 'aprofundando', 'cooperação', 'defesa', 'comércio', 'investimento', 'outro', 'tema']",32658,5126,[],[],"['🇧🇷', '🤝', '🇸🇦']"
2020-10-05,['opinião'],32031,5495,[],[],[]
2020-10-04,"['br', '319', 'porto', 'velhomanau', 'hidrovia', 'madeira', 'capitão', 'tarcisiogdf', 'infraestrutura', 'brasil', 'minfraestrutura', 'youtub']",18506,3783,"['tarcisiogdf', 'MInfraestrutura']",[],[]
2020-10-04,"['apó', 'recent', 'acordo', 'paz', 'deputado', 'bolsonarosp', 'embaixador', 'eua', 'usambbr', 'embaixador', 'israel', 'embaixadoryossi', 'president', 'república', 'jairbolsonaro', 'embaixador', 'bahrein', 'bader', 'alhulaiabi', 'embaixador', 'emirado', 'árabe', 'unido', 'saleh', 'alsuwaidi', 'itamaratygovbr', 'ernestofaraujo']",21292,3894,"['BolsonaroSP', 'USAmbBR', 'embaixadoryossi', 'jairbolsonaro', 'ItamaratyGovBr', 'ernestofaraujo']",[],[]
2020-10-04,"['outro', 'ponto', 'colocado', 'rede', 'sociai']",25287,5609,[],[],[]
2020-10-04,"['sergiodireita1', 'sérgio', 'fundação', 'palmar', 'depheliolop', 'deputado', 'feder', 'bom', 'dia', 'todo']",27599,3424,"['sergiodireita1', 'depheliolopes']",[],[]
2020-10-03,"['obrigado', 'agrest', 'brasil', 'acima', 'tudo', 'deu', 'acima', 'todo', 'youtub']",29806,5817,[],[],[]
2020-10-03,"['capitão', 'tarcisiogdf', 'região', 'nort', 'pont', 'abunã', 'br', '319', 'dezembro', 'estaremo', 'rondônia', 'minfraestrutura', 'bom', 'dia', 'todo', 'youtub']",26556,5206,"['tarcisiogdf', 'MInfraestrutura']",[],[]
2020-10-02,"['2', 'parabenizo', 'stf', 'dia', 'ontem', '6', 'x', '4', 'autoriz', 'petrobrá', 'liberar', 'venda', 'refinaria', 'aval', 'congresso']",19093,2796,[],[],[]
